"ARR_DELAY_GROUP","Frequency","Proportion"
-2,105327,0.287041478170818
-1,153638,0.418700605003543
0,64443,0.175622717610509
1,20398,0.0555894696680656
2,8271,0.0225404698315801
3,4183,0.0113996838720227
4,2492,0.00679130103014117
5,1682,0.0045838556712269
6,1233,0.0033602223796806
7,951,0.00259170436583638
8,771,0.00210116095274432
9,601,0.00163786995149071
10,459,0.00125088570338475
11,363,0.000989262549735652
12,2128,0.00579931323922167
