"DEP_DELAY_GROUP","Frequency","Proportion"
-2,4163,0.0113451790483458
-1,266584,0.726505695754074
0,59449,0.162012863138388
1,15093,0.0411320651877691
2,7014,0.0191148416634872
3,3861,0.0105221562108247
4,2435,0.00663596228266202
5,1757,0.00478824876001526
6,1244,0.00339020003270289
7,1009,0.00274976835449937
8,705,0.00192129503461056
9,617,0.00168147381043222
10,476,0.00129721480351011
11,352,0.000959284896713359
12,2181,0.00594375102196544
