"DISTANCE_GROUP","Frequency","Proportion"
1,45620,0.124325502806998
2,81641,0.222491415490271
3,73279,0.199702948710961
4,62673,0.170799040715103
5,44426,0.121071564833488
6,17301,0.0471493977216984
7,16471,0.0448874475391072
8,7550,0.020575570938028
9,5070,0.013816972802093
10,7162,0.0195181773586962
11,5747,0.0156619610835559
